Group,Common,Latin,Geographic area,dist,lat_start,long_start,lat_end,long_end
Terrestrial birds,Marsh harrier,Circus aeruginosus,Europe - W Africa,,,,,
Terrestrial birds,Osprey,Pandion haliaetus,Europe - W Africa,,,,,
Terrestrial birds,Lesser spotted eagle,Aquila pomarina,Europe - S Africa,,,,,
Terrestrial birds,White stork,Ciconia ciconia,Europe - S Africa,,,,,
Terrestrial birds,Black stork,Ciconia nigra,Europe-Africa,,,,,
Terrestrial birds,Black-necked crane,Grus nigricollis,,,,,,
Terrestrial birds,American Bittern,Botaurus lentiginosus,North America,,,,,
Terrestrial birds,Brown Pelican,Pelecanus occidentalis,North America,,,,,
Terrestrial birds,Wood Thrush,Hylocichla mustelina,North America,,,,,
Terrestrial birds,Snowy Owl,Bubo scandinavicus,North America,,,,,
Terrestrial birds,Golden Eagle,Aquila chrysaetos,North America,,,,,
Terrestrial birds,Bald Eagle,Haliaeetus leucocephalus,North America,,,,,
Terrestrial birds,Prairie Falcon,Falcon mexicanus,North America,,,,,
Terrestrial birds,Osprey,Pandion haliaetus,North America,,,,,
Terrestrial birds,Osprey,Pandion haliaetus,North America,,,,,
Terrestrial birds,Long-billed Curlew,Numenius americanus,North America,,,,,
Shorebirds,Hudosonian godwit,Limosa haemastica,Alaska,">10,000 km 
(6500 km to South, >10000 km to North)",,,,
Shorebirds,Long-billed curlew,Numenius americanus,N. America,"<1000 km, <10,000 km (676-3098)",,,,
Shorebirds,NewZealand bar-tailed godwit,Limosa lapponica baueri,New Zealand,"> 10,000 km",,,,
Shorebirds,Little Ringed Plover,Charadrius dubius,Scandinavia,"<10,000 km (5824-6866)",,,,
Terrestrial birds,Steller’s Sea Eagle,Haliaeetus pelagicus,Asia,"<10,000",,,,
Terrestrial birds,Asian Houbara Bustards,Chlamydotis macqueenii,Asia,"<10,000",,,,
Terrestrial birds,Asian Great Bustards,Otis tarda dybowskii,Asia,"<10,000",,,,
Terrestrial birds,New Zealand falcon,Falco novaeseelandiae,New Zealand,up to 587 km2 home range,,,,
Shorebirds,"bar-tailed 
godwits",Limosa lapponica baueri,New Zealand,"<10,000",,,,
Terrestrial birds,bar-headed geese,Anser indicus,Asia,"<10,000 (known from previous studies)",,,,
Terrestrial birds,bar-headed geese,Anser indicus,Asia,"<10,000",,,,
Terrestrial birds,black-necked cranes,Grus nigricollis,Asia,"<10,000",,,,
Marine mammals,Polar bears,Ursus maritimus,North America,1000,57.13,-92.78,61.09,-80.41
Marine mammals,Polar bears,Ursus maritimus,North America,1000,NA,NA,NA,NA
Marine mammals,Polar bears,Ursus maritimus,"Arctic (Norway, W Russia)",10000,70.4,58,76.9,96
Marine mammals,Polar bears,Ursus maritimus,"Arctic (USA, Greenland)",10000,70.3,148.5,82.4,16
Marine mammals,Polar bears,Ursus maritimus,Arctic (Noway),1000,80,30,NA,NA
Marine mammals,Polar bears,Ursus maritimus,Arctic (N. America),1000,NA,NA,NA,NA
Marine mammals,Northern Elephant Seals,Mirounga angustirostris,NE Pacific Ocean,"100,000",34,120.4,48,137.5
Marine mammals,Northern Elephant Seals,Mirounga angustirostris,NE Pacific Ocean,10000,37.5,122.5,41,165
Marine mammals,Northern Elephant Seals,Mirounga angustirostris,NE Pacific Ocean,"10,000",37.1,122.3,42,170
Marine mammals,Dugong,Dugong dugon,Australia,1000,-19.25,147,-18.2,146.2
